sku,name,brand,category,uri,price
4330,Flan UNIVERSAL Sabor a Vainilla Bolsa 100g,UNIVERSAL,https://www.plazavea.com.pe/panaderia-y-pasteleria,https://www.plazavea.com.pe/flan-universal-sabor-a-vainilla-bolsa-100g/p,2.6
5759,Mayonesa DELGA-C con Limón Libre de Grasa Doypack 400g,DELGA-C,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/mayonesa-delga-c-con-limon-libre-de-grasa-doypack-400gr/p,7.7
10614217,Spray Propol Defense Bionaturista,GENÉRICO,https://www.plazavea.com.pe/mercado-saludable,https://www.plazavea.com.pe/spray-propol-defense-bionaturista-100425802/p,35.0
11068097,Colita de Cuadril FRIGON x kg,FRIGON,https://www.plazavea.com.pe/carnes-aves-y-pescados,https://www.plazavea.com.pe/colita-de-cuadril-frigon-x-kg/p,42.9
14925,Lavavajilla Líquido SAPOLIO Manzana Frasco 1250ml,SAPOLIO,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/lavavajilla-liquido-sapolio-manzana-frasco-1250ml/p,13.7
3826,Helado Bombones D'ONOFRIO Pote 18un,D'ONOFRIO,https://www.plazavea.com.pe/congelados,https://www.plazavea.com.pe/helado-bombones-donofrio-pote-216ml/p,12.5
9489,Coco Unidad,PLAZA VEA,https://www.plazavea.com.pe/frutas-y-verduras,https://www.plazavea.com.pe/coco-unidad/p,10.59
4464,Crissinos FIBRA LIGHT con Orégano Paquete 70g,FIBRA LIGHT,https://www.plazavea.com.pe/panaderia-y-pasteleria,https://www.plazavea.com.pe/crissinos-fibra-light-con-oregano-paquete-70g/p,2.99
1063,Palillo KARIÑO Palillo Sobre 18Gr,KARIÑO,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/palillo-karino-palillo-sobre-18gr/p,3.6
11460594,Crema Hidratante Aclarante Flor de Sakura - Laikou,GENÉRICO,https://www.plazavea.com.pe/mercado-saludable,https://www.plazavea.com.pe/crema-hidratante-aclarante-flor-de-sakura-laikou-101090940/p,29.9
2138,Chocolate PRINCESA Relleno con Crema de Maní Caja 192g,NESTLÉ,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/chocolate-princesa-nestle-relleno-con-crema-de-mani-caja-192g/p,24.0
11602918,Contenedor Ebriel con 4 Ruedas 1100L Blanco,EBRIEL,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/contenedor-ebriel-con-4-ruedas-1100l-blanco-101225977/p,1749.0
10265462,Cocktail de Nueces VILLA NATURA Raisins & Seeds Bolsa 150g Paquete 2un,VILLA NATURA,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/cocktail-de-nueces-villa-natura-raisinsseeds-bolsa-150g-paquete-2un/p,14.9
10571865,Acondicionador CANTU Hydrating Frasco 400ml,CANTU,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/acondicionador-cantu-hydrating-frasco-400ml/p,47.9
11358814,Pack Pasta Dental Colgate Luminous White 2x75ml + Enjuague Bucal COLGATE Luminous White Carbón 250ml,COLGATE,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/pack-pasta-dental-colgate-luminous-white-2x75ml-enjuague-bucal-colgate-luminous-white-carbon-250ml/p,29.0
12722,Col China Entera x un,PLAZA VEA,https://www.plazavea.com.pe/frutas-y-verduras,https://www.plazavea.com.pe/col-china-entera/p,6.99
10189988,Quinua Tricolor TIYAPUY Orgánica Doypack 340g,TIYAPUY,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/quinua-tricolor-tiyapuy-organica-doypack-340g/p,8.8
49467,Bebida Rehidratante ELECTROLIGHT Mora Botella 475ml,ELECTROLIGHT,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/bebida-rehidratante-electrolight-mora-botella-475ml/p,2.1
10181318,Shampoo SEDAL Colágeno y Vitamina C Frasco 340ml,SEDAL,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/shampoo-sedal-colageno-y-vitamina-c-frasco-340ml/p,12.9
14812,Tinte para Cabello EXCELLENCE Creme 6.11 Rubio Oscuro Cenizo Caja 1un,EXCELLENCE,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/tinte-para-mujer-loreal-excellence-6-11-rubio-oscuro-cenizo-caja-1un/p,28.9
